Country,State,Year,As On Date,Figures Type,Additional Info,Total Police Expenditure Of Current Year (UOM:INR(IndianRupees)),Total Police Expenditure Increase Or Decrease Over Previous Year (UOM:INR(IndianRupees)),Total Police Training Expenditure Of Current Year (UOM:INR(IndianRupees)),Total Police Training Expenditure Increase Or Decrease Over Previous Year (UOM:INR(IndianRupees)),Percentage Of Total Police Training Expenditure To Total Police Expenditure (%) (UOM:%(Percentage))
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,398.9,,3.99,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,321.15,-77.75,3.11,-0.88,0.97
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,431.73,,4.31,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,256.26,-175.47,3.81,-0.5,1.49
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,1281.109106,,21.1072958,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,1181.105892,-100.003214,30.60294123,9.49564543,2.59
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,1181.105892,,30.60294123,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,1516.448714,335.3428214,15.65609194,-14.94684929,1.03
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,1516.448714,,15.65609194,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,1843.866774,327.4180605,34.59462922,18.93853727,1.88
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,1843.866774,,34.59462922,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,1960.540121,116.6733471,26.18336305,-8.411266168,1.34
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,1960.540121,,26.18336305,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,3861.04,516.27,72.48,27.81,1.88
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,3861.04,,72.48,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,2680.35,-1180.69,38.76,-33.72,1.45
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,2680.35,,38.76,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,2389.03,-291.32,23.11,-15.65,0.97
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,2389.03,,23.11,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,2849.24,460.21,29.71,6.6,1.04
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,3879.4,,38.13,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,3973.34,93.94,81.71,43.58,2.06
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,4151.63,,74.48,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,4666.9,515.27,53.46,-21.02,1.15
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,4775.41,,50.52,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,4792.19,16.78,43.8,-6.72,0.91
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,5238.16,,50.61,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,5280.68,42.52,56.01,5.4,1.06
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,5622.71,,56.91,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,5644.36,21.65,46.94,-9.97,0.83
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,6343.41,,47.99,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,6189.79,-153.62,58.78,10.79,0.95
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,159.26,,7.77,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,176.29,17.03,8.81,1.04,5
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,176.29,,8.81,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,247.34,71.05,5.54,-3.27,2.24
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,247.34,,5.54,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,308.1,60.76,9.57,4.03,3.11
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,308.1,,9.57,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,371.32,63.22,98.4,88.83,26.5
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,371.32,,98.4,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,,,260.45,162.05,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,,,260.45,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,578.1,,31.6,-228.85,5.47
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,578.1,,31.6,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,,,,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,,,,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,,,12.57,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,741.16,,12.64,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,874.64,133.48,14.28,1.64,2.06
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,874.64,,14.28,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,911.8,37.16,17.17,2.89,1.88
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,,,17.17,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,"""Percentage of Expenditure on Police Training"" for Arunachal Pradesh could not be calculated since the ""Total Expenditure on Police for the 2019-20 (Tentative)"" is not provided of by Arunachal Pradesh Police. However last year Expenditure on Police Training was 1.88%",,,19.5,2.33,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,934,,19.5,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,1065.55,131.55,22.56,3.06,2.12
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,999.34,,53.12,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,1337.9,338.56,26.43,-26.69,1.98
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,1337.9,,26.43,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,1335.19,-2.71,19.32,-7.11,1.45
India,Assam,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,941.58,,14.44,,
India,Assam,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,1134.44,192.86,16.75,2.31,1.48
India,Assam,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,1134.44,,16.75,,
India,Assam,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,1498.14,363.7,15.85,-0.9,1.06
India,Assam,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,1498.14,,15.85,,
India,Assam,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,1318.05,-180.09,16.24,0.39,1.23
India,Assam,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,1318.05,,16.24,,
India,Assam,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,1499.54,181.49,28.04,11.8,1.87
India,Assam,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,1499.54,,28.04,,
India,Assam,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,2020.81,521.27,20.74,-7.3,1.03
India,Assam,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,2020.81,,20.74,,
India,Assam,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,1275.77,-745.04,16.05,-4.69,1.26
India,Assam,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,1275.77,,16.05,,
India,Assam,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,1844.48,568.71,23.41,7.36,1.27
India,Assam,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,1844.08,,23.41,,
India,Assam,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,2581.53,737.05,26.26,2.85,1.02
India,Assam,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,3119.73,,25.42,,
India,Assam,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,4208.14,1088.41,31.2,5.78,2.06
India,Assam,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,3611.08,,32.05,,
India,Assam,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,2541.68,-1069.4,23.17,-8.88,0.91
India,Assam,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,3739.36,,18.41,,
India,Assam,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,23.46,-3715.9,0.11,-18.3,0.47
India,Assam,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,3955.71,,32.36,,
India,Assam,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,4478.24,522.53,36.26,3.9,0.81
India,Assam,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,4020.76,,31.97,,
India,Assam,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,4580.19,559.43,35.01,3.04,0.76
India,Assam,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,4580.19,,35.01,,
India,Assam,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,5454.75,874.56,26.89,-8.12,0.49
India,Bihar,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,1400.35,,5.03,,
India,Bihar,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,1809.58,409.23,5.87,0.84,0.32
India,Bihar,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,1809.58,,5.87,,
India,Bihar,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,2171.98,362.4,10,4.13,0.46
India,Bihar,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,2171.98,,10,,
India,Bihar,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,2501.25,329.27,12.57,2.57,0.5
India,Bihar,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,2501.25,,12.57,,
India,Bihar,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,3048.2,546.95,10,-2.57,0.33
India,Bihar,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,3048.2,,10,,
India,Bihar,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,3279.3,231.1,15.46,5.46,0.47
India,Bihar,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,3279.3,,15.46,,
India,Bihar,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,4179.64,900.34,17.15,1.69,0.41
India,Bihar,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,4179.64,,17.15,,
India,Bihar,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,5359.76,1180.12,26.1,8.95,0.49
India,Bihar,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,5359.76,,26.1,,
India,Bihar,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,4395.52,-964.24,30.56,4.46,0.7
India,Bihar,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,4861.44,,33.41,,
India,Bihar,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,5398.41,536.97,37.8,4.39,2.06
India,Bihar,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,5398.41,,37.8,,
India,Bihar,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,6607.41,1209,44.08,6.28,0.67
India,Bihar,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,6607.41,,44.08,,
India,Bihar,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,6625.86,18.45,144.64,100.56,2.18
India,Bihar,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,6625.86,,144.64,,
India,Bihar,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,5697.26,-928.6,102.12,-42.52,1.79
India,Bihar,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,5697.26,,102.12,,
India,Bihar,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,8374.97,2677.71,210.77,108.65,2.52
India,Bihar,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,8374.97,,210.77,,
India,Bihar,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,8790.63,415.66,73.91,-136.86,0.84
India,Chandigarh,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,101.2,,0.4,,
India,Chandigarh,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,157.15,55.95,0.04,-0.36,0.03
India,Chandigarh,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,157.15,,0.04,,
India,Chandigarh,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,170.75,13.6,0.92,0.88,0.54
India,Chandigarh,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,170.75,,0.92,,
India,Chandigarh,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,208.85,38.1,0.44,-0.48,0.21
India,Chandigarh,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,208.85,,0.44,,
India,Chandigarh,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,219,10.15,0.57,0.13,0.26
India,Chandigarh,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,219,,0.57,,
India,Chandigarh,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,309,90,1.2,0.63,0.39
India,Chandigarh,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,309,,1.2,,
India,Chandigarh,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,282,-27,0.4,-0.8,0.14
India,Chandigarh,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,282,,0.4,,
India,Chandigarh,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,396,114,1.1,0.7,0.28
India,Chandigarh,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,396,,1.1,,
India,Chandigarh,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,379.08,-16.92,1.42,,0.37
India,Chandigarh,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,410.61,,0.95,,
India,Chandigarh,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,428.65,18.04,1.08,0.13,2.06
India,Chandigarh,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,434.54,,0.93,,
India,Chandigarh,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,450.54,16,0.85,-0.08,0.19
India,Chandigarh,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,450.48,,1.1,,
India,Chandigarh,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,438.58,-11.9,1.52,0.42,0.35
India,Chandigarh,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,490.04,,2.18,,
India,Chandigarh,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,389.53,-100.51,0.39,-1.79,0.1
India,Chandigarh,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,481.46,,0.47,,
India,Chandigarh,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,412.87,-68.59,0.39,-0.08,0.09
India,Chandigarh,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,535.08,,0.55,,
India,Chandigarh,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,523.64,-11.44,0.79,0.24,0.15
India,Chhattisgarh,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,605.41,,0.39,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,957.75,352.34,4.54,4.15,0.47
India,Chhattisgarh,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,957.75,,4.54,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,1115.74,157.99,13.66,9.12,1.22
India,Chhattisgarh,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,1115.74,,13.66,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,1442.55,326.81,22.02,8.36,1.53
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,1442.55,,22.02,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,1598.1,155.55,57.9,35.88,3.62
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,1598.1,,57.9,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,1627.9,29.8,26.89,-31.01,1.65
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,1627.9,,26.89,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,1657.12,29.22,38.06,11.17,2.3
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,1657.12,,38.06,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,1872.3,215.18,27.6,-10.46,1.47
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,1872.3,,27.6,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,2053.62,181.32,28.53,0.93,1.39
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,2645.9,,37.63,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,3105.55,459.65,39.16,1.53,2.06
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,3105.69,,38.02,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,3576.81,471.12,40.49,2.47,1.13
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,3576.81,,40.49,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,3429.69,-147.12,37.06,-3.43,1.08
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,4200.04,,47.56,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,3076.7,-1123.34,33.44,-14.12,1.09
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,3076.7,,33.44,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,4435,1358.3,49.11,15.67,1.11
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,4435,,49.11,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,4799,364,58.05,8.94,1.21
India,Delhi,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,1490.26,,49.54,,
India,Delhi,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,2836.15,1345.89,90.09,40.55,3.18
India,Delhi,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,2836.15,,90.09,,
India,Delhi,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,3126.93,290.78,200.72,110.63,6.42
India,Delhi,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,3126.93,,200.72,,
India,Delhi,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,3514.02,387.09,146.29,-54.43,4.16
India,Delhi,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,3514.02,,146.29,,
India,Delhi,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,3544.72,30.7,71.21,-75.08,2.01
India,Delhi,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,3544.72,,71.21,,
India,Delhi,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,3314.59,-230.13,98.37,27.16,2.97
India,Delhi,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,3314.59,,98.37,,
India,Delhi,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,3694.32,379.73,94.95,-3.42,2.57
India,Delhi,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,3694.32,,94.95,,
India,Delhi,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,5125.82,1431.5,126.8,31.85,2.47
India,Delhi,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,5125.82,,126.8,,
India,Delhi,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,5728.9,603.08,138.34,-0.08,2.41
India,Delhi,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,6005.54,,140.06,,
India,Delhi,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,6777.02,771.48,140.33,0.27,2.06
India,Delhi,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,6777.02,,140.33,,
India,Delhi,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,7850.09,1073.07,330.84,190.51,4.21
India,Delhi,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,7850.09,,330.84,,
India,Delhi,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,8828.85,978.76,203.92,-126.92,2.31
India,Delhi,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,8828.85,,203.92,,
India,Delhi,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,6903.41,-1925.44,171.68,-32.24,2.49
India,Delhi,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,8271.13,,190.69,,
India,Delhi,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,6781.97,-1489.16,129.09,-61.6,1.9
India,Delhi,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,11516.77,,230.58,,
India,Delhi,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,7588.55,-3928.22,294.56,63.98,3.88
India,Goa,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,129.78,,0.51,,
